0,ratio,close
WIFI,0.55679287305121505,22.574999999999999
MB,0.62500000000000888,32.200000000000003
SFLY,0.75469036535475986,71.424999999999997
NTRI,1.4545454545454639,41.850000000000001
BCOR,1.5590200445434466,22.800000000000001
NTES,1.6546290216677528,309.63999999999999
MOMO,1.7215845982969213,27.475000000000001
VRSN,1.8591549295774668,108.48
VRSN,1.8591549295774668,108.48
CTXS,2.0148097124160547,88.859999999999999
CCOI,2.0310633213858953,42.700000000000003
VEEV,2.1636547440014642,57.200000000000003
CARB,2.1714285714285797,22.350000000000001
TRUE,2.2181146025878062,11.06
FB,2.3277989679156397,182.43000000000001
EGOV,2.3715415019762709,12.949999999999999
EBAY,2.4296828246558988,42.789999999999999
GOGO,2.5142857142857133,8.9700000000000006
PCLN,2.6745897314858436,1848.8099999999999
CSGP,2.6952946550936385,337.19999999999999
SINA,2.7432861680623644,106.73999999999999
EQIX,2.8097957051792077,433.04000000000002
MELI,2.8146917109530545,348.18000000000001
WB,2.8171478565179431,117.52
ZG,2.8444858941478079,44.109999999999999
ENV,2.902902902902893,51.399999999999999
LEXEA,3.1342557800274173,46.659999999999997
TTD,3.1658637302133474,44.969999999999999
VG,3.3333333333333215,10.539999999999999
P,3.3826638477801207,4.8899999999999997
SSTK,3.4039514401333015,43.439999999999998
GRPN,3.4068136272545013,5.1600000000000001
TWOU,3.4482758620689502,69.0
GRUB,3.5362241832689545,68.588399999999993
VNET,3.5578144853875449,8.1500000000000004
MMYT,3.5653650254668934,30.5
JD,3.6701509872241633,44.630000000000003
EBIX,3.675048355899424,80.400000000000006
FIVN,3.7399065023374423,24.41
JCOM,3.7698412698412564,75.834999999999994
CMPR,3.8605230386052458,158.46000000000001
BNFT,3.8626609442059978,24.199999999999999
EXPE,3.9155408138499936,128.44999999999999
AAPL,4.0365673083113229,161.59999999999999
BOX,4.0587649402390458,20.895
LPSN,4.0620721131903181,11.4
GOOGL,4.0722362477390028,1075.9300000000001
GOOG,4.133542216037922,1070.1700000000001
JNPR,4.1818920016240435,25.66
WEB,4.1958041958042092,22.350000000000001
BZUN,4.2521109770808252,34.57
GDDY,4.2784908595876914,53.619999999999997
WIX,4.2869641294838168,59.600000000000001
LOGM,4.288793103448274,120.97499999999999
HUBS,4.2951541850220432,94.700000000000003
CRM,4.4008382549056924,109.59999999999999
SOHU,4.4341923540301531,35.539999999999999
BIDU,4.4889677910220582,226.59999999999999
BCOV,4.6875,6.7000000000000002
CTRP,4.7343100809096983,47.895000000000003
PYPL,4.7889273356401363,75.709999999999994
PETS,4.9043366745560979,44.5
RBBN,4.9317943336830927,7.0
FTD,5.0089445438282754,5.8700000000000001
WBAI,5.2448979591836808,11.3454
ATHM,5.2660753880266142,75.959999999999994
YY,5.3810683835044282,121.125
EIGI,5.4421768707483054,7.75
YNDX,5.4484492875104928,37.740000000000002
EGHT,5.460122699386516,17.190000000000001
HDP,5.5893746541228362,19.079999999999998
STMP,5.5935772571729325,200.57499999999999
MIME,5.5981339553482057,31.690000000000001
CSOD,5.6182795698924703,39.289999999999999
ALRM,6.050029086678288,36.460000000000001
NTGR,6.1863743148003136,67.799999999999997
ETFC,6.7532735333539762,51.770000000000003
LE,6.8965517241379448,17.050000000000001
CRTO,7.1394574012375145,22.510000000000002
TWTR,7.7634239960377993,26.109999999999999
ACTA,7.8947368421052655,0.81999999999999995
IAC,8.0008816398501104,147.0
ETSY,8.2721544597953667,18.73
COUP,8.5519125683060082,39.729999999999997
NFLX,8.6813186813186718,267.02999999999997
AMZN,8.97001499250376,1453.6600000000001
FLWS,9.1188524590164022,10.65
LQDT,9.3700787401574956,6.9450000000000003
ANET,9.9185168959955448,275.99990000000003
MEET,10.126582278480999,2.6099999999999999
AKAM,10.596241088788094,68.260000000000005
AMTD,10.927088176042155,57.265000000000001
MTCH,12.222222222222223,36.359999999999999
SPSC,12.272543469470287,55.530000000000001
NTNX,13.342033898305083,33.435899999999997
DHX,13.636363636363647,1.875
NEWR,15.938669994651455,65.030000000000001
OSTK,17.090946502057601,56.906199999999998
TRIP,17.708942139099946,40.280000000000001
NQ,23.500000000000011,2.0501
LTRPA,24.319526627218945,10.505000000000001
SNAP,37.672510257366639,18.454999999999998
